SL,School Name,District,Board,Sector,Project,Link
437,North Ghilatali (Ratia) H.S. School,Khowai,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1XoSP_GKa66SDBIXkM9cbgRuVFUQklBRbcm8C8qHIBmM/edit?usp=drivesdk
438,Sukhamoy H.S. School,West,TBSE,Tourism & Hospitality,72 VE Schools,https://docs.google.com/spreadsheets/d/1ZwU5OsGH-jwLVla4A4dj5inqB4yPgeC2rjB2LzL7c-0/edit?usp=drivesdk
439,Dr.B.R Ambedkar Vidyabhaban Hs,West,CBSE,Retail,72 VE Schools,https://docs.google.com/spreadsheets/d/1oqXBawK5RACihjovZju8EkeCCz4Rvu58e-r5dSKKEEk/edit?usp=drivesdk
440,Rajnagar H.S. School,West,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1qui0m9x85NxTKQjKjTrYzDKpFbqqg-6fFSifoQaOLe4/edit?usp=drivesdk
441,Hapania H.S. School,West,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1rZE3jxXodmz3FWD0tHVO-xgl6D7thL07adaCwhnm5Ok/edit?usp=drivesdk
442,Ananda Vidya Niketan H.S. School,West,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1wIh8a9pi-PsPO2vV_B8wS9sk-v-8MPUPBs7eS2LHw5M/edit?usp=drivesdk
443,Barjala H.S. School,West,TBSE,Automotive,72 VE Schools,https://docs.google.com/spreadsheets/d/11SGc9_keIFWj7V7BHZ6dZ8z0HP_aUJ7hCB8wXjOZzNc/edit?usp=drivesdk
444,Taltala H.S. School,West,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/13DS8lOLviEC1fWHz6Ab6jHRN9OsoVMaZfPNdw77evaY/edit?usp=drivesdk
445,Madhuban (Dukli) H.S. School,West,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/19gj5C8NgT-tPztWybtb3buXIrO11eei_vetwMbqel64/edit?usp=drivesdk
446,Gopalnagar H.S. School,West,TBSE,Automotive,72 VE Schools,https://docs.google.com/spreadsheets/d/1H8j0z5DCH61c-HoS7nXGmILv3oQS-LCq185I-z_h0FY/edit?usp=drivesdk
447,Laxman Dhepa H.S. School,Sepahijala,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1HQlUBpCgX1IAmQPfTNSrH69IGN7RcooczoITsHtHguo/edit?usp=drivesdk
448,Kumaria Kucha H.S. School,Sepahijala,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1Kp84h3Ov5UvBp8ARJwgJ9m0KMNUqi38fD1DQ7l6CW9I/edit?usp=drivesdk
449,Veluarchar H.S. School,Sepahijala,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1Q9qPqDhThuSJobbvhYKfFnsPCK-bdLH2ttDrRuYqXe4/edit?usp=drivesdk
450,Konaban West Class-XII School,Sepahijala,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1RP1pGyi9JFjN7dfUFH5yVMpzT7_YgwecTDQJq78ku88/edit?usp=drivesdk
451,Adwaita Malla Barman Smriti Class XII School,Sepahijala,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1ReXxBZ400rcHq4OG08IHoVMpcnldZxf7jiMd1C4xJQk/edit?usp=drivesdk
452,Rangamatia (S) H.S. School,Sepahijala,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1TL9rVAUWd90vLivFs7KkU4j9-8Vo-jcMsW9niD922aY/edit?usp=drivesdk
453,Santinagar H.S. School,Sepahijala,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1Vqih-nD29K1avcWUNxQDGQMej7F2KISN_7Ud7PPMlu4/edit?usp=drivesdk
454,Champamura H.S. School,Sepahijala,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1dvUIP0yUGzpRSqnbwsMm_-0cl6dTWaHTljrZzFFmRPQ/edit?usp=drivesdk
455,Debipur H.S. School,Sepahijala,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1f-TDTs_9oedO6L-MLD7uUvTw2_pZXOjS_vpoQnpYe8s/edit?usp=drivesdk
456,Telkajla H.S. School,Sepahijala,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1gPi9tkq6RmT4Vhr7HUqT1MChPvkrgAZLfYKWNeUknoY/edit?usp=drivesdk
457,Amarpur English Med. H.S. School,Gomati,CBSE,Information Technology,72 VE Schools,https://docs.google.com/spreadsheets/d/1gTTW6SSK_7fUsbGLwdQj6gS9dvoksWn9DP5g5Wx8Xj0/edit?usp=drivesdk
458,PMSHRI Hazachari H.S. School,Gomati,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1h37Uo9VttWPEUbaHtyRsmwF7OncGyEPbeU8zmRK44gg/edit?usp=drivesdk
459,Gangachara H.S. School,Gomati,TBSE,Beauty & Wellness,72 VE Schools,https://docs.google.com/spreadsheets/d/1hDE7lVaYv4q8DKP7yxwrb-KhbZmhU5lr-mkFww5ZGmw/edit?usp=drivesdk
460,Udaipur English Medium H.S. School,Gomati,CBSE,Information Technology,72 VE Schools,https://docs.google.com/spreadsheets/d/1igUNDXVJ6UB3muDVXkOjE41ApC-Jrr_n10QV-enKBm4/edit?usp=drivesdk
461,Ghorakappa H.S. School,Gomati,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1jo6lcRQ9gTsaP3kiMwLyzJeTuVcGgfp6TJ15fnQ_IKo/edit?usp=drivesdk
462,Paikhola H.S. School,South,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1mJz3ecJtx78uKNoBTHPCR3hSikRs0roDJVwP0S-VrcQ/edit?usp=drivesdk
463,Uttar Bharat Chandra Nagar H.S. School,South,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1rifUFNoBsv3d6vUvzRf9b74woUn5Ew4KW530o5hbdcg/edit?usp=drivesdk
464,Harina H.S. School,South,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/17X3_p0K9gZu4VeTKoJHcg6PVxNBTqJNdcS2sP-c2l3U/edit?usp=drivesdk
465,Sabroom English Medium H.S. School,South,CBSE,Electronics & Hardware,72 VE Schools,https://docs.google.com/spreadsheets/d/1Efui2njzj7ANvioMx7CqtFaJZms-Z8KEbSZHSlv8btw/edit?usp=drivesdk
466,West Bokafa H.S. School,South,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1F05ws1tvK2eF4gvhHtjg2WHOaQHV7Sh9LhsERmGz-LE/edit?usp=drivesdk
467,No-2 Jalefa H.S. School,South,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/1IHlpU-hq2_PsOx6vM7MS7y2Gb6OaLZzD2k7HTvgpwG0/edit?usp=drivesdk
468,Krishna Nagar H.S. School,South,TBSE,Tourism & Hospitality,72 VE Schools,https://docs.google.com/spreadsheets/d/1R7k4xOzHwsLh8XIAR6OpOHgbwTpRWiWdp2o_7DIm-8o/edit?usp=drivesdk
469,Charakbai H.S. School,South,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1XkuhsD3uZlrPzL7EvoZpcH4K9-4PDUx_Gz-6EgvCgWY/edit?usp=drivesdk
470,Nishi Kr. Murasing Para H.S. School,South,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1ZH5ZOOq4WvbZD09ImIXXXvB9qf17ZcfrbNl5lqRCTZs/edit?usp=drivesdk
471,Abhoynagar H.S. School,South,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1d0rIzp2F5G8Bg769ERO9BO6p9bqVtHcYGZQ6q1BS7Rk/edit?usp=drivesdk
472,Ghosh Khamar H.S. School,South,TBSE,Power,72 VE Schools,https://docs.google.com/spreadsheets/d/1hMcj2dxdy5dA3CsTfkhMGp9kxMknWIXZALf1tFnP59o/edit?usp=drivesdk
473,Satchand H.S. School,South,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/1j8gFWR1KH1Y3B-LrNMzy2A5D0DVmgU5yqS5WvC7N4WE/edit?usp=drivesdk
474,Lukhu H.S. School,South,TBSE,Power,72 VE Schools,https://docs.google.com/spreadsheets/d/1ltjoTAu6_FLrcQnlQQl5yon3TUDfdpJ9Donl_L4t6Dc/edit?usp=drivesdk
475,Belonia Girls H.S. School,South,TBSE,Beauty & Wellness,72 VE Schools,https://docs.google.com/spreadsheets/d/1msD4PSrtoU1krOkMisyWRJsK-9nnCMA5rc9zjKn0lqc/edit?usp=drivesdk
476,Chottakhola H.S. School,South,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1sxEOSnekT72qGP5ywG6pkQTcst-gWUobSGQYLK5st30/edit?usp=drivesdk
477,South Fulbari High. School.,North,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1LzgTy6pm-xCgfJVAWctiTt_W8bUsGt6iSoMEFNTM9Eo/edit?usp=drive_link
478,East Padmabill High School,North,TBSE,Agriculture,102 VE Schools,https://docs.google.com/spreadsheets/d/1WcJQodnF16Ea3nr8exgnNp3KI8lczMhEGWOQ67z_LlY/edit?usp=drivesdk
479,Rowa High School,North,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1_Jetl1tdIQri52SH1J4spugrHnpzmQ4ntM1DqruDkrw/edit?usp=drivesdk
480,Fatikroy Class Xii School,Unakoti,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/153lOnxst4kqiejXMS_RuMGvkijS_wRXmqdK6nE-6QsA/edit?usp=drivesdk
481,Darchawi Christian H.S. School,Unakoti,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/173x2pss8B0u-rzmZqJdedBPvzb7VezFPvSaNwUfU8Aw/edit?usp=drivesdk
482,R.K.Shiksha Pratisthan School,Unakoti,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1ALaZtWUKXXfs0IH2NLJ4FF54z3qeG5KFBDIXv2zPnWU/edit?usp=drivesdk
483,Rangauti High School,Unakoti,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1NH_kwC2klzW0rnqcjLWe4bgmfFcvWKgmZep2xy439_g/edit?usp=drivesdk
484,Sishu Niketan,Unakoti,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1cpAPrdOFsnJGiHiDBNJig8BRrkL4HQFvmk3Yw8kgElY/edit?usp=drivesdk
485,North Nalichara High School,Dhalai,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1FAkIeBRy6v-WNBtc7HW9xAoxDgAi18qfZI20Dr9UWec/edit?usp=drivesdk
486,Balaram Hs School,Dhalai,TBSE,Agriculture,102 VE Schools,https://docs.google.com/spreadsheets/d/1i9LaDjfpVN7xcEakXWaQRR7-vuVr1To8WtVVrZ1a89k/edit?usp=drivesdk
487,Hezacherra Hs School,Dhalai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1lndZo7ALmvli0-W727a0hkmCNAKDvSNUBeRYmz4fjeE/edit?usp=drivesdk
488,Harachandra Class Xii School,Dhalai,TBSE,Power,102 VE Schools,https://docs.google.com/spreadsheets/d/1mdOLkQoY2nKJZs0-SMPo8ZczoCF6A3Kax4OosINFGag/edit?usp=drivesdk
489,Twikarma Twisa High School,Dhalai,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1p8F3YpAsU62kbuDYiipfjmS0EDC0W_nBOrJZBuFzND8/edit?usp=drivesdk
490,Fulchari High School,Dhalai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1J41CK0fVJyqSDs0EHyjIBpo8GqIazlKcxD4IPkPiZVY/edit?usp=drivesdk
491,Marachara High School,Dhalai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1f-HaDNrZn_u0P_NSlSYqmjuFN8_zVUNyC3y7o5BfwOE/edit?usp=drivesdk
492,Nakful Col. High School,Dhalai,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1hzekvZYFe_0-htulXZF9zBH34VPU6_3KDJVHyVhvUDc/edit?usp=drivesdk
493,Banbazar High School,Khowai,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1kTsxbAr8w055Pyc_C83Ei5Z_qheWqyP2lV7SOj2cfos/edit?usp=drivesdk
494,Swaranjoy Chow. Para High School,Khowai,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1oa5IIPsKgjNskog8BakwOGmgkCJFLSRYDCTyWUnBTdQ/edit?usp=drivesdk
495,Netaji Nagar High School,Khowai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/18chiQcw8Hw33NrUJvx53t4P2M9J7udBlQQbn6dqHido/edit?usp=drivesdk
496,Vivekananda H/S School,Khowai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1OeTJphqxmjz07H4_k8C4TR912se4-I_ocxJ4nw0Rby4/edit?usp=drivesdk
497,PMSHRI Tuimadhu High School,Khowai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1bpaVn1nY6aFhqpg4kefPaVtirOHEIetlmIZfSkVKyjw/edit?usp=drivesdk
498,Paschim Rajnagar High School,Khowai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1dpBEm6JyLkGFoTAjz41PcnlYjkMmzUrMiqgxERCisOk/edit?usp=drivesdk
499,Madhya Bhubanban H.S. School,West,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1sKrTt7xQH008dzQxvRxnTG04Z2mxy-Yen2PjbURVoyg/edit?usp=drivesdk
500,Abhoynagar N.S Vidyalaya HS School,West,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1QI7269spgbHzRtWfskvyR_VaeY4D_8yv9Ewz-0ARFh8/edit?usp=drivesdk
501,Netaji Subhas Vidyaniketan H.S School,West,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1VQOQ4X5MsSMWi3Mplr8ih9wjYZTVeqDJJOHlpMICAzk/edit?usp=drivesdk
502,Sankaracharya Vidyayatan (Girls') HS School,West,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1q2A1XAA9VsT_FZK35Qo4ghIPE24s9m6Ioky2INw7Q9s/edit?usp=drivesdk
503,Fatik Chhara English Medium H.S. School,West,TBSE,Organised Retail,102 VE Schools,https://docs.google.com/spreadsheets/d/1qs-ie37-VZju2Cj1rSLr1Kfj1wVxF-ttNtn9K1WVmek/edit?usp=drivesdk
504,Sanghati Vidyamandir Eng.Med. H. S School,West,TBSE,Agriculture,102 VE Schools,https://docs.google.com/spreadsheets/d/1ySyH30hy73JJWUCY2DMr11oTgiLdL2axFDRxFuyc4no/edit?usp=drivesdk
505,Patunagar H.S. School,West,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/13-4W_VKfERoTF2_m5svjrnvsNaPHArvI41mO3AZV6Ho/edit?usp=drivesdk
506,Bhagat Sing Hindi Eng Medium H.S. School,West,CBSE,Information Technology,102 VE Schools,https://docs.google.com/spreadsheets/d/19f63SzizqQj97cwY4s90KY30AtiiWdgZ_FXwXGUCRkA/edit?usp=drivesdk
507,Kshudiram Basu English Medium School,West,CBSE,Information Technology,102 VE Schools,https://docs.google.com/spreadsheets/d/1RcOY2inljp0UqsGC82ahHNfOjT9SFtptmKoU_8R8ZBM/edit?usp=drivesdk
508,PMSHRI North Brajapur H.S School,Sepahijala,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1SvYUvs8fAdGCS25_xVWEskWRpmXG3QzR22ZwBIEn5_0/edit?usp=drivesdk
509,Karaiamura H S School,Sepahijala,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1t_i76Wb-SQ-HDmnv31lUjalbmx71WBWFgxCn9FzCMxk/edit?usp=drivesdk
510,Sarbongbari H.S school,Gomati,TBSE,Organised Retail,102 VE Schools,https://docs.google.com/spreadsheets/d/1QMNkmG9e5E-XU6sdbw4rnoSFMprRCaiiny_IDzdTRJI/edit?usp=drivesdk
511,Udaipur Ramaesh English Medium H.S School,Gomati,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1fKA5IPVBy-bPGKwLfgbGRhqK4QCQvwku338LtGiCgXw/edit?usp=drivesdk
512,Kawamaraghat High School,Gomati,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1imi77krHd4QuXvYq9a8iJW6YJLL_69rAUCNdh-H8oko/edit?usp=drivesdk
513,Jambukbari High School,Gomati,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1tuV0yjluwOMzte3SGd6JOhsRusLnNa471LBV8Z78KGE/edit?usp=drivesdk
514,Karbook English Med. Model H. S. School,Gomati,CBSE,Electronics & Hardware,102 VE Schools,https://docs.google.com/spreadsheets/d/1yPkWGJVFHqKGgGX3hfvuNvT4XLJLDSiskGulvMDfxG8/edit?usp=drivesdk
515,Sirish Ch. Para Girls High School,Gomati,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/18InjX1THbkZiZXD7QSrhfokcDp9_AwdF6oE9mWExCNo/edit?usp=drivesdk
516,Jolaibari High School,Gomati,TBSE,Organised Retail,102 VE Schools,https://docs.google.com/spreadsheets/d/1dWOf-2phVyYUKBFrp7aHipAiy-OFnZI-z88UWU7WgQA/edit?usp=drivesdk
517,Amtali High School,Gomati,TBSE,Agriculture,102 VE Schools,https://docs.google.com/spreadsheets/d/1Di9PSd81GA8N5dt2HqAVj4NY8GlCD4QKR701Ml5dqP4/edit?usp=drivesdk
518,Barabhaiya High School,Gomati,TBSE,Organised Retail,102 VE Schools,https://docs.google.com/spreadsheets/d/1FhcuswoF6ckSxwlUAK8GknL1312R84bS6AEeq9r0Roo/edit?usp=drivesdk
519,Harianandha Eng. Med. H.S. School,Gomati,CBSE,Information Technology,102 VE Schools,https://docs.google.com/spreadsheets/d/1NmU8JwN4rS7gIBx4TUnyAL2mSvrsx3zzzrv29j6FNuw/edit?usp=drivesdk
520,Jolaibari H.S School,South,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1UyjfBwrduccrRs34uH_3KF1ROEC_1wd7kqgcm97_w5M/edit?usp=drivesdk
521,Belonia Vidyapith H.S. School,South,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1pdt_yOAhpe48tk_nNF0L7NfRFvvaswZBAB0a06qd_CY/edit?usp=drivesdk
522,South Sonaichari H.S. School,South,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1-K70VzzJm7F2tbNCksX5IcMZ2FVBxKvklroe6BugOx0/edit?usp=drivesdk
523,Shyamsing Hs School,South,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1-XMv9NDcdTxVD_0CuiKD4ng2ht5luog5sC9-5C3i0rU/edit?usp=drivesdk
524,B.K. Institution,South,CBSE,Information Technology,102 VE Schools,https://docs.google.com/spreadsheets/d/124YvWd5wF6rvgNehyc7Oy1GveDOianT0ktuX5PiD15Y/edit?usp=drivesdk
525,Muhuripur English Medium HS School,South,TBSE,Agriculture,102 VE Schools,https://docs.google.com/spreadsheets/d/1WPHlzLoCI7L0b2ejbG46JaZtU5YNYddCagZxCWqSaVI/edit?usp=drivesdk
526,Sarashima H.S. School,South,TBSE,Power,102 VE Schools,https://docs.google.com/spreadsheets/d/1wiWKXb8rw5dhETe5N9G02ewgfmt-LWXXGfj4F88x30E/edit?usp=drivesdk
527,PMSHRI Gabtali High School,South,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/15DLx1BvXBG7emCNk3Gsedkja6oS-W5oAXJoPDpMD-s8/edit?usp=drivesdk
528,Satrughna Para H.S. School,South,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1E9CU0WegGklnjHiTZwTn-wIA2EnHCm6AU4nN2zUgHRU/edit?usp=drivesdk
529,Baghan H.S.School.,North,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1QAivQPKGWAKPSpasazSWTyLcz8vmhTm-M6F0vjNYG-8/edit?usp=drivesdk
530,Lalcherra H.S School.,North,TBSE,Agriculture,102 VE Schools,https://docs.google.com/spreadsheets/d/1coYAm3R74mGKDPo4RAQWaelrBiojqWauU2pl3lGvrtE/edit?usp=drivesdk
531,Jalabasa H/S School.,North,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1fy7EzoPKIE9LfNX_VzfY6UtijcVPV-pglcYr0uJOtSQ/edit?usp=drivesdk
532,Srirampur S.M. H.S. School,Unakoti,CBSE,Electronics & Hardware,102 VE Schools,https://docs.google.com/spreadsheets/d/1NJxeugqZ7RHsztEmDRgoB14yuE59uBNeIY0iO9LgbIQ/edit?usp=drivesdk
533,Nabincherra H.S. School,Unakoti,TBSE,Power,102 VE Schools,https://docs.google.com/spreadsheets/d/1NOyHz-W35YDVZE6TDwP94XAaXUTL6jUN-ymJWnTdipk/edit?usp=drivesdk
534,Dhanbilash H.S. School,Unakoti,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1QvXabq6wD4rjKpEuUjKQD0c9VXNjBrG_HptqU_HcI_g/edit?usp=drivesdk
535,Ramkamal H.S. School,Unakoti,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1Rn-KKAhyF2cATM71FU2PgXKODsM9D82hW43d2zuFw44/edit?usp=drivesdk
536,Irani High School,Unakoti,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1xKn9_wLpay-kXbVQFu16fLt4A9PzDsjPz3LGWS1pIhY/edit?usp=drivesdk
537,Krishnanagar Bm High School,Unakoti,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/19vAtprAGOd9in51Yzc9jkEg782pgIMeCVXMpTpHoRus/edit?usp=drivesdk
538,Sripur High School,Unakoti,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1VG5DD6sZ8nHAcDNm2rA-Pr31Xf0CPuBjfVl42wbrOgU/edit?usp=drivesdk
539,Chawmanu Class Xii School,Dhalai,CBSE,Information Technology,102 VE Schools,https://docs.google.com/spreadsheets/d/1mJkob4a-Uqh98MGFUFPVPCwf2vrU6wiWMc1UuNra8hQ/edit?usp=drivesdk
540,Twikarma Twisa Class Xii School,Dhalai,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/1wN7Z9Mz1by7_M3uSXAmnFN4Zutz89NEtkgE-s5vEX-U/edit?usp=drivesdk
